room,back,pro
wenxi_702,10.10.101.214,10.10.103.18
wenxi_703,10.10.101.215,10.10.103.17
wenxi_704,10.10.101.216,10.10.103.16
wenxi_705,10.10.101.217,10.10.103.14
wenxi_706,10.10.101.218,10.10.103.13
wenxi_707,10.10.101.219,10.10.103.12
wenxi_709,10.10.101.220,10.10.103.10
wenxi_710,10.10.101.221,10.10.103.11
wenxi_801,10.10.101.222,10.10.103.19
wenxi_802,10.10.101.223,10.10.103.23
wenxi_805,10.10.101.224,10.10.103.22
wenxi_806,10.10.101.225,10.10.103.21
wenxi_807,10.10.101.226,10.10.103.20
wenxi_901,10.10.101.227,10.10.103.41
wenxi_1101,10.10.101.228,10.10.103.36
wenxi_1102,10.10.101.229,10.10.103.34
wenxi_1103,10.10.101.230,10.10.103.35
wenxi_1105,10.10.101.231,10.10.103.37
wenxi_1106,10.10.101.232,10.10.103.38
wenxi_1107,10.10.101.233,10.10.103.39
wenxi_1108,10.10.101.234,10.10.103.40
nanrui_101,10.120.32.2,10.120.32.43
nanrui_102,10.120.32.3,10.120.32.44
nanrui_103,10.120.32.4,10.120.32.45
nanrui_104,10.120.32.5,10.120.32.46
nanrui_105,10.120.32.6,10.120.32.47
nanrui_106,10.120.32.7,10.120.32.48
nanrui_107,10.120.32.8,10.120.32.49
nanrui_108,10.120.32.9,10.120.32.50
nanrui_109,10.120.32.10,10.120.32.51
nanrui_201,10.120.32.11,10.120.32.52
nanrui_202,10.120.32.12,10.120.32.53
nanrui_203,10.120.32.13,10.120.32.54
nanrui_204,10.120.32.14,10.120.32.55
nanrui_205,10.120.32.15,10.120.32.56
nanrui_206,10.120.32.16,10.120.32.57
nanrui_207,10.120.32.17,10.120.32.58
nanrui_208,10.120.32.18,10.120.32.59
nanrui_209,10.120.32.19,10.120.32.60
nanrui_301,10.120.32.20,10.120.32.61
nanrui_302,10.120.32.21,10.120.32.62
nanrui_303,10.120.32.22,10.120.32.63
nanrui_304,10.120.32.23,10.120.32.64
nanrui_305,10.120.32.24,10.120.32.65
nanrui_306,10.120.32.25,10.120.32.66
nanrui_307,10.120.32.26,10.120.32.67
nanrui_308,10.120.32.27,10.120.32.68
nanrui_401,10.120.32.28,10.120.32.69
nanrui_402,10.120.32.29,10.120.32.70
nanrui_403,10.120.32.30,10.120.32.71
nanrui_404,10.120.32.31,10.120.32.72
nanrui_405,10.120.32.32,10.120.32.73
nanrui_406,10.120.32.33,10.120.32.74
nanrui_407,10.120.32.34,10.120.32.75
nanrui_409,10.120.32.35,10.120.32.76
nanrui_502,10.120.32.36,10.120.32.77
nanrui_503,10.120.32.37,10.120.32.78
nanrui_504,10.120.32.38,10.120.32.79
nanrui_505,10.120.32.39,10.120.32.80
nanrui_506,10.120.32.40,10.120.32.81
nanrui_507,10.120.32.41,10.120.32.82
nanrui_508,10.120.32.42,10.120.32.83
beizhi_102,10.120.17.70,10.120.17.50
beizhi_103,10.120.17.71,10.120.17.51
beizhi_104,10.120.17.72,10.120.17.52
beizhi_105,10.120.17.119,
beizhi_106,10.120.17.118,
beizhi_107,10.120.17.73,10.120.17.55
beizhi_108,10.120.17.74,10.120.17.56
beizhi_202,10.120.17.101,10.120.17.102
beizhi_204,10.120.17.104,10.120.17.105
beizhi_224,10.120.17.107,10.120.17.108
beizhi_226,10.120.17.110,10.120.17.111
beizhi_228,10.120.17.113,10.120.17.114
beizhi_230,10.120.17.116,10.120.17.116
ligong_201,10.10.171.18,
ligong_202,10.10.171.19,
ligong_203,10.10.171.20,
ligong_204,10.10.171.21,
ligong_205,10.10.171.22,
ligong_206,10.10.171.23,
ligong_207,10.10.171.24,
ligong_208,10.10.171.25,
ligong_209,10.10.171.26,
ligong_210,10.10.171.27,
ligong_302,10.10.171.28,
ligong_303,10.10.171.29,
ligong_304,10.10.171.30,
ligong_305,10.10.171.31,
ligong_307,10.10.171.33,
